Name,Rating,Cost,Reviews,Category 1,Category 2,Category 3
Ffiona’s Restaurant,4.5,2,269,British,,
The Mayfair Chippy,4.5,2,279,Fish & Chips,,
Duck & Waffle,4.0,3,703,Modern European,Bars,British
Dishoom,4.5,2,1841,Indian,,
The Golden Chippy,5.0,2,108,Fish & Chips,,
Restaurant Gordon Ramsay,4.5,4,205,French,British,
Mother Mash,4.0,2,468,British,,
Padella,4.5,2,205,Italian,,
Flat Iron,4.5,2,380,Steakhouses,,
The Queens Arms,4.5,2,118,British,Pubs,Gastropubs
BAO - Soho,4.0,2,185,Taiwanese,,
Maria Sabina,4.0,,10,Mexican,,
The Grazing Goat,4.0,2,241,Gastropubs,British,
Piebury Corner,5.0,1,35,British,,
Sketch,4.0,3,826,French,Modern European,Cocktail Bars
Lanzhou Noodle Bar,4.0,1,351,Chinese,Noodles,
Chee Mc,4.0,2,13,Korean,,
Dishoom,4.5,2,545,Indian,,
HOOK,4.5,2,73,Fish & Chips,Seafood,
Korean Bbq and Vegan Restaurant,4.5,,2,Halal,Korean,Vegan
Ye Olde Cheshire Cheese,4.0,2,352,Pubs,British,
Pieminister,4.0,1,89,British,,
NOPI,4.5,3,271,Mediterranean,,
The Pig and Butcher,4.5,2,109,British,Gastropubs,
Bailey’s Fish and Chips,4.5,1,132,Fish & Chips,,
Cirilo Filipino Kainan,4.5,2,45,Filipino,,
Core by Clare Smyth,4.5,,18,British,,
Balaio Brazilian Grill,5.0,,1,Brazilian,,
Savoir Faire,4.5,2,194,French,,
Wright Brothers - South Kensington,4.5,2,23,Seafood,,
Pho House,4.5,2,23,Vietnamese,,
Hawksmoor Seven Dials,4.5,3,342,British,Steakhouses,Cocktail Bars
Tayyabs,4.0,2,683,Indian,Pakistani,Halal
Yauatcha,4.0,3,481,Dim Sum,Seafood,Noodles
The Shed,4.5,2,78,British,,
Goddards at Greenwich,4.5,1,84,British,,
Silk Road,4.5,2,43,Chinese,,
Laughing Halibut,4.0,2,242,Fish & Chips,,
Bibimbap,4.0,1,185,Korean,,
Daebak,4.0,,8,Korean,,
Ottolenghi,4.0,2,212,Mediterranean,Modern European,
Bradleys Restaurant,4.5,2,10,British,Modern European,
José,4.5,2,82,Spanish,Tapas Bars,
New London Cafe,5.0,1,24,British,Cafes,
Naru,4.0,2,66,Korean,,
Barrafina,4.0,3,37,Tapas/Small Plates,Spanish,
The Swan,4.0,2,115,Pubs,British,
Abeno,4.5,2,101,Japanese,,
Phat Phuc Noodle Bar,4.0,1,57,Vietnamese,Noodles,
The Barge House,4.0,2,27,Lounges,British,
Gordon Ramsay Street Pizza,4.5,2,30,Pizza,Bars,
Market Halls Victoria,4.5,,10,Food Court,,
Regency Café,4.5,1,392,Cafes,,
Ken’s Fish Bar,5.0,,1,Fish & Chips,,
Negril,4.0,2,54,Caribbean,,
Jinjuu,4.0,3,98,Korean,,
Circolo Popolare,4.5,,11,Italian,,
Nando’s,4.0,2,96,Chicken Shop,Fast Food,
Homeslice Neal’s Yard,4.5,2,227,Pizza,,
Barrafina,4.5,2,60,Spanish,Tapas Bars,
Wright Brothers,4.0,3,90,Seafood,,
Bleecker,4.0,2,85,Burgers,,
Maggie Jones’s,4.5,3,119,British,,
The Churchill Arms,4.0,2,358,Pubs,Thai,
Kazan,4.5,2,112,Turkish,,
Fego,4.0,2,13,Brasseries,,
The Colonel Fawcett,4.5,2,26,Gastropubs,,
The Athenian - boxpark,4.5,,14,Greek,Food Stands,
Boqueria,4.5,2,11,Spanish,Tapas Bars,
London House by Gordon Ramsay,4.5,3,23,Modern European,,
M Manze,4.0,1,14,British,,
Restaurant Story,4.5,4,40,British,,
Emilia’s Crafted Pasta,4.5,,17,Italian,Pasta Shops,
Chiltern Firehouse,4.0,4,144,Modern European,French,British
Yijo Restaurant,4.0,3,12,Korean,,
Burger & Beyond,4.0,,7,Burgers,,
The Lobster Pot,4.5,3,8,French,Seafood,
Fish Bone,4.5,1,77,Fish & Chips,British,Seafood
On The Bab,4.0,2,91,Korean,,
Roti King,4.0,1,94,Indian,Asian Fusion,Singaporean
Texas Joe’s,4.5,2,22,Barbeque,,
Mien Tay,4.0,1,119,Vietnamese,Noodles,
Smoking Goat,4.5,2,30,Thai,,
Micky’s Fish Bar & Kebab Restaurant,4.5,1,20,Fish & Chips,,
Honest Burgers Meard St - Soho,4.5,2,277,Burgers,,
Battersea Pie,4.0,1,82,British,,
Busaba Soho,4.0,2,381,Thai,,
Laksamania,4.5,,11,Malaysian,,
Bizzarro,4.0,2,148,Italian,,
Cambridge Street,4.5,2,50,British,,
Poppies,4.0,2,341,Fish & Chips,Fast Food,
La Tua Pasta,4.5,,17,Italian,Food,
Patty & Bun,4.5,2,185,Burgers,,
Kennington Lane Cafe,5.0,1,97,Cafes,,
Dominique Ansel Treehouse,4.5,,3,Bakeries,Bistros,
Mamak Don,4.5,,4,Malaysian,,
Street Hawker Restaurant,4.5,2,6,Asian Fusion,,
Bento Bab,5.0,1,10,Korean,,
Roti Chai,4.0,2,297,Indian,Kebab,
Jasmine,4.5,2,35,Thai,,
The Victoria,4.5,2,214,Pubs,British,
Xi’An BiangBiang Noodles,4.0,,16,Noodles,,
Juzu Takoyaki,5.0,,4,Japanese,,
Seoul Bakery,4.5,1,40,Cafes,Korean,
St John Bar and Restaurant,4.0,3,294,British,Bars,
Apollo Restaurant Taverna,4.5,,5,Greek,Mediterranean,
The Queen of Sheba,4.5,2,22,Ethiopian,African,
brat,4.5,,8,British,Wine Bars,
Shake Shuka,4.5,1,20,Lebanese,,
Lime Orange,4.0,2,31,Korean,,
Where the Pancakes are,4.5,2,75,Pancakes,,
Black Axe Mangal,4.5,2,10,Turkish,,
Zeitgeist,4.0,2,27,German,,
Flat Iron,4.5,,3,Steakhouses,,
Yasmeen Restaurant,5.0,2,14,Lebanese,Mediterranean,
Trinidad Roti Shop Carribean Cusine,5.0,1,4,Caribbean,,
The Ledbury,4.5,4,167,Modern European,,
Pidgin,5.0,3,2,Modern European,British,
